date,instrument,open,high,low,close,volume,open_interest
2011-04-08,si1s,15.87407753,16.39027516,15.81205378,16.24942123,156467.57206925,167880.7007789
2011-04-11,cl1s,85.43651314,85.57227031,81.9671632,82.90237927,434475.16942174,277370.9826149
2011-04-11,es1s,1043.7782477,1047.32114954,1036.8892719,1038.8575507,2639587.94846698,3423256.1462405
2011-04-11,fesx1s,3033.40760342,3040.72457559,3017.72837735,3033.40760342,744204.0,1900655.0
2011-04-11,gc1s,683.19385497,683.98057146,675.74318704,679.39910484,225904.88743143,778044.32495406
2011-04-11,hg1s,6.03307437,6.04173779,5.92311554,5.94444089,28961.59003031,45388.9886395
2011-04-11,ho1s,3.40129291,3.40129291,3.30936331,3.32963286,50331.39367465,86765.36400511
2011-04-11,ng1s,0.02219551,0.02294715,0.02205181,0.02270397,25444702.2943184,30867942.9370655
2011-04-11,nq1s,1736.34353632,1744.75333711,1720.83212598,1725.31735306,386590.0,465679.0
2011-04-11,pl1s,1959.8252528,1962.41034794,1920.83340111,1931.06606937,4988.28836194,32607.23317479
2011-04-11,rb1s,8.18943523,8.19671138,7.99874985,8.03011258,18185.9984054,33768.18941676
2011-04-11,si1s,16.40628129,16.79643066,15.91409285,16.25102185,173498.54911245,160610.98511952
2011-04-12,cl1s,82.18588309,83.14372536,79.54616032,80.13444139,689132.21382981,234895.87839124
2011-04-12,es1s,1039.44803434,1039.64486222,1027.63836154,1030.0002961,2405763.0960255,3410370.52251761
2011-04-12,fesx1s,3007.27555998,3020.86422257,2978.00767131,2985.32464348,1311903.0,1949199.0
2011-04-12,gc1s,678.05705906,679.5842146,668.70901607,672.68887596,371463.93129155,762406.03573009
2011-04-12,hg1s,5.9411088,5.9644334,5.8124903,5.84247907,37700.11077026,39911.93863507
2011-04-12,ho1s,3.3198052,3.35880874,3.22623765,3.24783804,65166.57806546,78132.10136956
2011-04-12,ng1s,0.02271502,0.02290846,0.02242763,0.0226487,22015212.3152496,26471884.6627458
2011-04-12,nq1s,1726.43865983,1726.81242876,1708.12398256,1714.10428534,384573.0,448754.0
2011-04-12,pl1s,1931.82005546,1935.05142438,1906.93851474,1911.13929434,6457.01573745,31877.51148253
2011-04-12,rb1s,8.03237069,8.10412861,7.85548491,7.93878432,21315.90801283,32203.0353319
2011-04-12,si1s,16.10616639,16.3702675,15.88808289,16.0325382,286295.3473255,151274.56102071
2011-04-13,cl1s,79.96097389,81.02440507,79.42548727,80.78305899,542934.85416029,185697.15145748
2011-04-13,es1s,1030.0002961,1038.26706706,1027.44153366,1030.39395186,2568943.73892103,3388130.27891111
2011-04-13,fesx1s,2997.86802433,3022.95478604,2985.32464348,3004.13971476,1091552.0,1906065.0
2011-04-13,gc1s,672.87398572,677.36289746,671.94843691,673.61442477,232975.28709162,753723.61952146
2011-04-13,hg1s,5.84181265,5.87380067,5.70186505,5.72385682,38501.41068872,34731.24955553
2011-04-13,ho1s,3.25490167,3.29451944,3.23248232,3.27875423,57567.78308448,70692.53039962
2011-04-13,ng1s,0.02260449,0.02311295,0.02252158,0.02288635,25635048.5778459,21986443.2476822
2011-04-13,nq1s,1713.54363196,1733.91403831,1712.98297857,1725.69112199,389791.0,447576.0
2011-04-13,pl1s,1911.89328042,1931.28149397,1909.20047298,1914.26295097,4243.71228409,31965.70939699
2011-04-13,rb1s,7.96864163,8.14853823,7.93376628,8.13524044,28191.50595474,29912.09932992
2011-04-13,si1s,16.05214571,16.31824758,16.02013345,16.1009644,307099.87907674,145856.6361154
2011-04-14,cl1s,80.95556018,81.85556641,79.82305234,81.52556413,259410.20496937,415141.12736421
